Subclass/&BarbarianSubclassPrimalPathTitle	Primal Path
Subclass/&BarbarianSubclassPrimalPathDescription	Select a Barbarian primal path
Class/&BarbarianClassTitle	Barbarian
Class/&BarbarianClassDescription	For some, there is only rage. In the ways of their people, in the fury of their passion, in the howl of battle, conflict is all these brutal souls know. Savages, hired muscle, masters of vicious martial techniques, they are not soldiers or professional warriors - they are the battle possessed, creatures of slaughter and spirits of war. Known as barbarians, these warmongers know little of training, preparation, or the rules of warfare; for them, only the moment exists, with the foes that stand before them and the knowledge that the next moment might hold their death. They possess a sixth sense in regard to danger and the endurance to weather all that might entail. These brutal warriors might rise from all walks of life, both civilized and savage, though whole societies embracing such philosophies roam the wild places of the world. Within barbarians storms the primal spirit of battle, and woe to those who face their rage.
Feature/&BarbarianWeaponProficiencyTitle	Barbarian Weapon Proficiencies
Feature/&BarbarianArmorProficiencyTitle	Barbarian Armor Proficiencies
Feature/&BarbarianClassSkillPointPoolTitle	Barbarian Skills
Feature/&BarbarianClassUnarmoredDefenseTitle	Unarmored Defense
Feature/&BarbarianClassUnarmoredDefenseDescription	While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.
Feature/&BarbarianClassRagePowerTitle	Rage
Feature/&BarbarianClassRagePowerDescription	You fight with a primal ferocity. While raging, you  have advantage on Strength checks and Strength saving throws, add your rage bonus on all melee attacks using strength. You also have resistance to bludgeoning, piercing, and slashing damage. You can not cast or concentrate on spells. Rage ends early if you are knocked unconscious or if your turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then.
Rules/&BarbarianClassRageCondition	Enraged
Rules/&BarbarianClassCanContinueRageCondition	Can Continue Rage
Feature/&BarbarianClassRageExtraUseTitle	Extra Rage Use
Feature/&BarbarianClassRageExtraUseDescription	You can rage one more time before taking a long rest.
Feature/&BarbarianClassRecklessAttackPowerTitle	Reckless Attack
Feature/&BarbarianClassRecklessAttackPowerDescription	You can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.
Feature/&ConditionBarbarianClassRecklessAttackPowerDescription	You have advantage on melee weapon attack rolls using Strength, but attack rolls against you have advantage until your next turn.
Rules/&BarbarianClassRecklessCondition	Reckless
Feature/&BarbarianClassDangerSenseTitle	Danger Sense
Feature/&BarbarianClassDangerSenseDescription	You gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger. You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be blinded, deafened, or incapacitated.
Feature/&BarbarianClassFeralInstinctTitle	Feral Instinct
Feature/&BarbarianClassFeralInstinctDescriptionYour instincts are so honed that you have advantage on initiative rolls. Additionally, you can no longer be surprised.
Feature/&BarbarianClassFastMovementTitle	Fast Movement
Feature/&BarbarianClassFastMovementDescription	Your speed increases by 10 feet while you aren't wearing heavy armor.
Feature/&BarbarianClassBrutalCriticalTitle	Brutal Critical
