Subclass/&BarbarianSubclassPrimalPathTitle	Chemin primordial
Subclass/&BarbarianSubclassPrimalPathDescription	Sélectionnez un chemin primaire barbare
Class/&BarbarianClassTitle	Barbare
Class/&BarbarianClassDescription	Pour certains, il n'y a que de la rage. Dans les voies de leur peuple, dans la fureur de leur passion, dans le hurlement de la bataille, le conflit est tout ce que ces âmes brutales connaissent. Sauvages, muscles embauchés, maîtres des techniques martiales vicieuses, ce ne sont pas des soldats ou des guerriers professionnels - ce sont des possédés de bataille, des créatures de massacre et des esprits de guerre. Connus sous le nom de barbares, ces bellicistes connaissent peu l'entraînement, la préparation ou les règles de la guerre ; pour eux, seul le moment existe, avec les ennemis qui se dressent devant eux et la connaissance que le moment suivant pourrait contenir leur mort. Ils possèdent un sixième sens en ce qui concerne le danger et l'endurance pour affronter tout ce que cela pourrait entraîner. Ces guerriers brutaux pourraient provenir de tous les horizons, à la fois civilisés et sauvages, bien que des sociétés entières adoptant de telles philosophies parcourent les endroits sauvages du monde. À l'intérieur, les barbares prennent d'assaut l'esprit primitif de la bataille, et malheur à ceux qui affrontent leur rage.
Feature/&BarbarianWeaponProficiencyTitle	Compétences en armes barbares
Feature/&BarbarianArmorProficiencyTitle	Compétences en armure barbare
Feature/&BarbarianClassSkillPointPoolTitle	Compétences barbares
Feature/&BarbarianClassUnarmoredDefenseTitle	Défense sans armure
Feature/&BarbarianClassUnarmoredDefenseDescription	Tant que vous ne portez aucune armure, votre classe d'armure est égale à 10 + votre modificateur de Dextérité + votre modificateur de Constitution. Vous pouvez utiliser un bouclier tout en bénéficiant de cet avantage.
Feature/&BarbarianClassRagePowerTitle	Rage
Feature/&BarbarianClassRagePowerDescription	Au combat, vous vous battez avec une férocité primitive. À votre tour, vous pouvez entrer dans une rage en tant qu'action bonus.\nEn rage, vous bénéficiez des avantages suivants si vous ne portez pas d'armure lourde :\nVous avez un avantage aux jets de Force et aux jets de sauvegarde de Force.\nLorsque vous effectuez une attaque au corps à corps avec une arme en utilisant la Force, vous gagnez un bonus de +2 au jet de dégâts (+3 au niveau 9, +4 au niveau 16).\nVous avez une résistance aux dégâts contondants, perforants et tranchants.\nSi vous êtes capable de lancer des sorts, vous ne pouvez pas les lancer ou vous concentrer sur eux lorsque vous êtes enragé.\nVotre rage dure 1 minute. Il se termine plus tôt si vous perdez connaissance ou si votre tour se termine et que vous n'avez pas attaqué de créature hostile depuis votre dernier tour ou subi de dégâts depuis lors. Vous pouvez faire rage jusqu'à 2 fois et devez terminer un long repos avant de pouvoir à nouveau faire rage.
Rules/&BarbarianClassRageCondition	Furieux
Rules/&BarbarianClassCanContinueRageCondition	Peut continuer la rage
Feature/&BarbarianClassRageExtraUseTitle	Utilisation de rage supplémentaire
Feature/&BarbarianClassRageExtraUseDescription	Vous pouvez rager une fois de plus avant de prendre un long repos.
Feature/&BarbarianClassRecklessAttackPowerTitle	Attaque imprudente
Feature/&BarbarianClassRecklessAttackPowerDescription	À partir du niveau 2, vous pouvez laisser de côté tout souci de défense pour attaquer avec un désespoir féroce. Lorsque vous effectuez votre première attaque à votre tour, vous pouvez décider d'attaquer imprudemment. Cela vous donne un avantage sur les jets d'attaque d'arme de mêlée utilisant la Force pendant ce tour, mais les jets d'attaque contre vous ont un avantage jusqu'à votre prochain tour.
Rules/&BarbarianClassRecklessCondition	Téméraire
Feature/&BarbarianClassDangerSenseTitle	Sens du danger
Feature/&BarbarianClassDangerSenseDescription	Au niveau 2, vous obtenez un sentiment étrange lorsque les choses à proximité ne sont pas comme elles devraient l'être, ce qui vous donne un avantage lorsque vous évitez le danger. Vous avez un avantage aux jets de sauvegarde de Dextérité contre les effets que vous pouvez voir, comme les pièges et les sorts. Pour bénéficier de cet avantage, vous ne pouvez pas être aveuglé, assourdi ou frappé d'incapacité.
Feature/&BarbarianClassFeralInstinctTitle	Instinct sauvage
Feature/&BarbarianClassFeralInstinctDescription	Au niveau 7, vos instincts sont tellement affinés que vous avez un avantage sur les jets d'initiative. De plus, vous ne pouvez plus être surpris.
Feature/&BarbarianClassFastMovementTitle	Mouvement rapide
Feature/&BarbarianClassFastMovementDescription	À partir du niveau 5, votre vitesse augmente de 3 mètres tant que vous ne portez pas d'armure lourde.
Feature/&BarbarianClassBrutalCriticalTitle	Critique brutale
Feature/&BarbarianClassBrutalCriticalDescription	À partir du niveau 9, vous pouvez lancer un dé de dégâts d'arme supplémentaire pour déterminer les dégâts supplémentaires pour un coup critique avec une attaque de mêlée.\nCela passe à deux dés supplémentaires au niveau 13 et à trois dés supplémentaires au niveau 17.
Stage/&SubclassSelectionStagePrimalPathHeader	Voie primordiale barbare
Stage/&SubclassSelectionStagePrimalPathTitle	Voie primordiale barbare
Stage/&SubclassSelectionStagePrimalPathFeatures	Fonctionnalités du chemin primordial
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryTitle	Chemin de la fureur gelée
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryDescription	On dit que les barbares qui errent dans le nord gelé ont de la glace dans les veines. Leur rage ne brûle pas en eux au point de les aveugler à toute émotion, à l'exception de la soif de sang, leur seul souci est la violence. Ils excluent la douleur, la peur et le froid de l'hiver pour terminer une bataille.
Feature/&BarbarianSubclassFrozenFuryWintersFuryTitle	Fureur de l'hiver
Feature/&BarbarianSubclassFrozenFuryWintersFuryDescription	Une fois que vous avez choisi ce chemin au niveau 3, l'air même autour de vous se fige lorsque vous entrez en colère. Toutes les créatures situées à 1,50 mètre ou moins de vous à la fin de votre tour subissent 1d6 points de dégâts de froid. Ces dégâts passent à 1d10 au niveau 6, 2d6 au niveau 10 et 2d10 au niveau 14. Vous êtes immunisé contre ces dégâts.
Feature/&BarbarianSubclassFrozenFuryFrigidBodyTitle	Corps glacial
Feature/&BarbarianSubclassFrozenFuryFrigidBodyDescription	À partir du niveau 6, des vents glacials secouent l'espace autour de vous lorsque vous entrez en colère, repoussant les missiles qui vous visent. Votre classe d'armure augmente de 2 contre les attaques d'armes à distance.
Feature/&BarbarianSubclassFrozenFuryNumbTitle	Engourdi
