Subclass/&BarbarianSubclassPrimalPathTitle	Caminho Primordial
Subclass/&BarbarianSubclassPrimalPathDescription	Selecione um caminho primordial bárbaro
Class/&BarbarianClassTitle	bárbaro
Class/&BarbarianClassDescription	Para alguns, existe apenas raiva. Nos caminhos de seu povo, na fúria de sua paixão, no uivo da batalha, o conflito é tudo o que essas almas brutais conhecem. Selvagens, músculos contratados, mestres de técnicas marciais cruéis, eles não são soldados ou guerreiros profissionais - eles são os possuídos pela batalha, criaturas da matança e espíritos de guerra. Conhecidos como bárbaros, esses fomentadores de guerra sabem pouco sobre treinamento, preparação ou regras de guerra; para eles, apenas o momento existe, com os inimigos que estão diante deles e o conhecimento de que o próximo momento pode conter sua morte. Eles possuem um sexto sentido com relação ao perigo e a resistência para enfrentar tudo que isso possa acarretar. Esses guerreiros brutais podem surgir de todas as esferas da vida, tanto civilizados quanto selvagens, embora sociedades inteiras adotando tais filosofias vaguem pelos lugares selvagens do mundo. Dentro dos bárbaros, surge o espírito primitivo de batalha, e ai daqueles que enfrentam sua fúria.
Feature/&BarbarianWeaponProficiencyTitle	Proficiências com armas bárbaras
Feature/&BarbarianArmorProficiencyTitle	Proficiências com Armadura Bárbara
Feature/&BarbarianClassSkillPointPoolTitle	Habilidades Bárbaras
Feature/&BarbarianClassUnarmoredDefenseTitle	Defesa sem armadura
Feature/&BarbarianClassUnarmoredDefenseDescription	Enquanto você não estiver usando nenhuma armadura, sua Classe de Armadura é igual a 10 + seu modificador de Destreza + seu modificador de Constituição. Você pode usar um escudo e ainda obter esse benefício.
Feature/&BarbarianClassRagePowerTitle	Raiva
Feature/&BarbarianClassRagePowerDescription	Na batalha, você luta com ferocidade primordial. Por sua vez, você pode inserir uma fúria como uma ação bônus.\nEnquanto estiver enfurecido, você ganha os seguintes benefícios se não estiver usando uma armadura pesada:\nVocê tem vantagem em testes de Força e testes de resistência de Força.\nQuando você faz um ataque com arma corpo a corpo usando Força, você ganha um bônus de +2 na jogada de dano (+3 no 9º nível, +4 no 16º nível).\nVocê tem resistência a golpes, perfurações e golpes de corte.\nSe você for capaz de lançar feitiços, não poderá lançá-los nem se concentrar neles durante a fúria.\nSua raiva dura 1 minuto. Termina mais cedo se você ficar inconsciente ou se seu turno terminar e você não atacar uma criatura hostil desde seu último turno ou sofrer dano desde então. Você pode se enfurecer até 2 vezes e deve terminar um longo descanso antes de poder enfurecer-se novamente.
Rules/&BarbarianClassRageCondition	Enfurecido
Rules/&BarbarianClassCanContinueRageCondition	Pode continuar a raiva
Feature/&BarbarianClassRageExtraUseTitle	Uso de raiva extra
Feature/&BarbarianClassRageExtraUseDescription	Você pode se enfurecer mais uma vez antes de descansar um pouco.
Feature/&BarbarianClassRecklessAttackPowerTitle	Ataque imprudente
Feature/&BarbarianClassRecklessAttackPowerDescription	Começando no segundo nível, você pode deixar de lado toda a preocupação com a defesa para atacar com desespero feroz. Quando você faz seu primeiro ataque na sua vez, pode decidir atacar de forma imprudente. Fazer isso lhe dá vantagem nas jogadas de ataque com arma corpo-a-corpo usando Força durante este turno, mas as jogadas de ataque contra você têm vantagem até o próximo turno.
Rules/&BarbarianClassRecklessCondition	Imprudente
Feature/&BarbarianClassDangerSenseTitle	Sentido de Perigo
Feature/&BarbarianClassDangerSenseDescription	No 2º nível, você ganha uma sensação fantástica de quando as coisas próximas não estão como deveriam, dando-lhe uma vantagem quando você se esquiva do perigo. Você tem vantagem nos testes de resistência de Destreza contra efeitos que você pode ver, como armadilhas e feitiços. Para obter esse benefício, você não pode ficar cego, surdo ou incapacitado.
Feature/&BarbarianClassFeralInstinctTitle	Feral Instinct
Feature/&BarbarianClassFeralInstinctDescription	No 7º nível, seus instintos são tão aguçados que você tem vantagem nos testes de iniciativa. Além disso, você não pode mais se surpreender.
Feature/&BarbarianClassFastMovementTitle	Movimento Rápido
Feature/&BarbarianClassFastMovementDescription	Começando no 5º nível, sua velocidade aumenta em 3 metros enquanto você não está usando uma armadura pesada.
Feature/&BarbarianClassBrutalCriticalTitle	Crítico Brutal
Feature/&BarbarianClassBrutalCriticalDescription	Começando no 9º nível, você pode rolar um dado de dano de arma adicional ao determinar o dano extra para um acerto crítico com um ataque corpo a corpo.\nIsso aumenta para dois dados adicionais no 13º nível e três dados adicionais no 17º nível.
Stage/&SubclassSelectionStagePrimalPathHeader	Caminho Primordial Bárbaro
Stage/&SubclassSelectionStagePrimalPathTitle	Caminho Primordial Bárbaro
Stage/&SubclassSelectionStagePrimalPathFeatures	Características do caminho primordial
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryTitle	Caminho da Fúria Congelada
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryDescription	Dizem que os bárbaros que vagam pelo norte gelado têm gelo nas veias. Sua raiva não arde dentro deles, mas os cega para todas as emoções, exceto a sede de sangue - seu único cuidado é com a violência. Eles excluíram a dor, o medo e o frio do inverno para terminar uma batalha.
Feature/&BarbarianSubclassFrozenFuryWintersFuryTitle	Fúria do inverno
Feature/&BarbarianSubclassFrozenFuryWintersFuryDescription	Depois de escolher este caminho no 3º nível, o próprio ar ao seu redor congela quando você entra em uma fúria. Todas as criaturas a menos de 1,5 m de você no final do seu turno recebem 1d6 pontos de dano por frio. Este dano aumenta para 1d10 no 6º nível, 2d6 no 10º nível e 2d10 no 14º nível. Você está imune a esse dano.
Feature/&BarbarianSubclassFrozenFuryFrigidBodyTitle	Corpo Frígido
Feature/&BarbarianSubclassFrozenFuryFrigidBodyDescription	Começando no 6º nível, ventos frígidos esbarram no espaço ao seu redor quando você entra em um ataque de fúria, derrubando mísseis em sua direção. Sua classe de armadura aumenta em 2 contra ataques com armas de longo alcance.
Feature/&BarbarianSubclassFrozenFuryNumbTitle	Entorpecido
Feature/&BarbarianSubclassFrozenFuryNumbDescription	Ao atingir o 10º nível, sua mente bloqueia toda dor e medo, enchendo você de uma resolução fria de continuar lutando. Você não pode se assustar ou ser envenenado enquanto está enfurecido. Se você ficar assustado ou envenenado ao entrar em sua raiva, tais efeitos serão removidos.
Subclass/&BarbarianSubclassPrimalPathOfWarShamanTitle	Xamã de guerra
Subclass/&BarbarianSubclassPrimalPathOfWarShamanDescription	O Caminho da Guerra Xamã é antigo, dizem ter sido praticado por guerreiros-druidas há muito esquecidos.\nOs bárbaros que seguem este caminho primitivo têm a habilidade de lançar feitiços para aumentar suas proezas de combate consideráveis. Como os druidas, os xamãs da guerra podem ser evitados em algumas sociedades ou por certos adoradores dos deuses, que consideram todo o culto aos titãs um anátema.
Feature/&BarbarianSubclassWarShamanClassSpellcastingTitle	Conjuração do xamã da guerra
Feature/&BarbarianSubclassWarShamanClassSpellcastingDescription	Ao escolher este caminho no 3º nível, você ganha a habilidade de lançar uma seleção limitada de feitiços e truques de druidas. Embora você não possa lançar feitiços durante a fúria, pode manter a concentração em feitiços de druida enquanto faz isso.\nSabedoria é a sua habilidade de lançar feitiços para seus feitiços de druida. Você usa Sabedoria sempre que uma magia se refere à sua habilidade de conjuração. Além disso, você usa seu modificador de Sabedoria ao definir a CD do teste de resistência para um feitiço de druida que você conjura ou quando faz uma jogada de ataque com um.
Feature/&BarbarianSubclassWarShamanClassShareRageTitle	Compartilhe a raiva
Feature/&BarbarianSubclassWarShamanClassShareRageDescription	Começando no 6º nível, como parte da mesma ação bônus que você usa para entrar em uma fúria, você pode gastar um slot de magia de 1º nível ou superior. Se você fizer isso, escolha uma criatura disposta que você possa ver a até 9 metros de você. Contanto que seu alvo possa ver ou ouvir você e não estiver usando uma armadura pesada, ele também se enfurece. Ele ganha os efeitos do recurso Fúria, incluindo seu bônus de Dano de Fúria.
Feature/&BarbarianSubclassWarShamanClassRagecasterTitle	Ragecaster
Feature/&BarbarianSubclassWarShamanClassRagecasterDescription	No 10º nível, você pode lançar feitiços de druida enquanto se enfurece. O alcance do seu recurso Share Rage aumenta para 18 metros.
Subclass/&BarbarianSubclassPrimalPathOfBerserkerTitle	Berserker
Subclass/&BarbarianSubclassPrimalPathOfBerserkerDescription	Para alguns bárbaros, a raiva é um meio para um fim - esse fim é a violência. O Caminho do Berserker é um caminho de fúria desenfreada, escorregadio de sangue. Ao entrar na fúria do berserker, você se emociona no caos da batalha, sem se importar com sua própria saúde ou bem-estar.
Feature/&BarbarianSubclassBerserkerFrenzyTitle	Frenesi
Feature/&BarbarianSubclassBerserkerFrenzyDescription	Começando quando você escolhe este caminho no 3º nível, você pode entrar em um frenesi quando estiver furioso. Se você fizer isso, durante a sua fúria, você pode fazer um único ataque com arma corpo a corpo, ataque com arma como uma ação bônus. Quando sua raiva termina, você fica exausto até fazer um breve descanso.
Rules/&BarbarianSubclassBerserkerFrenzyCondition	Frenético
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedTitle	Exausta
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedDescripton	Você recebe uma desvantagem em todos os testes de habilidade.
Feature/&BarbarianSubclassMindlessRageTitle	Raiva estúpida
Feature/&BarbarianSubclassMindlessRageDescription	Começando no 6º nível, você não pode ficar encantado ou assustado enquanto estiver furioso. Se você fica encantado ou assustado ao entrar em sua fúria, o efeito é suspenso enquanto a fúria durar.
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceTitle	Presença Intimidante
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceDescription	Começando no 10º nível, você pode usar sua ação para assustar alguém com sua presença ameaçadora. Ao fazer isso, escolha uma criatura que você possa ver a até 9 metros de você. Se a criatura pode ver ou ouvir você, ela deve ter sucesso em um teste de resistência de Sabedoria (CD igual a 8 + seu bônus de proficiência + seu modificador de Carisma) ou ter medo de você até o final de seu próximo turno.\nSe a criatura for bem-sucedida em seu teste de resistência, você não pode usar este recurso naquela criatura novamente por 24 horas.
