Subclass/&BarbarianSubclassPrimalPathTitle	原始路径
Subclass/&BarbarianSubclassPrimalPathDescription	选择一条蛮族原始路径
Class/&BarbarianClassTitle	野蛮人
Class/&BarbarianClassDescription	对某些人来说，只有愤怒。在他们的人民的方式中，在他们的激情的狂暴中，在战斗的嚎叫中，冲突是所有这些残酷的灵魂所知道的。野蛮人，雇佣的肌肉，恶毒的武术大师，他们不是士兵或职业战士——他们是战斗附身，屠杀生物和战争精神。这些战争贩子被称为野蛮人，对训练、准备或战争规则知之甚少。对他们来说，只有当下存在，眼前的敌人和下一刻可能会迎来他们的死亡的知识。他们拥有关于危险的第六感和经受住一切可能带来的考验的忍耐力。这些野蛮的战士可能来自各行各业，无论是文明的还是野蛮的，尽管拥抱这种哲学的整个社会都在世界的荒野中漫游。野蛮人的原始战斗精神席卷而来，而那些直面他们的愤怒的人会感到悲哀。
Feature/&BarbarianWeaponProficiencyTitle	野蛮人武器熟练度
Feature/&BarbarianArmorProficiencyTitle	野蛮人盔甲擅长
Feature/&BarbarianClassSkillPointPoolTitle	野蛮人技能
Feature/&BarbarianClassUnarmoredDefenseTitle	无装甲防御
Feature/&BarbarianClassUnarmoredDefenseDescription	当你没有穿戴任何盔甲时，你的防御等级等于 10 + 你的敏捷修正值 + 你的体质修正值。您可以使用盾牌并仍然获得此好处。
Feature/&BarbarianClassRagePowerTitle	愤怒
Feature/&BarbarianClassRagePowerDescription	在战斗中，你以原始的凶猛进行战斗。轮到你时，你可以作为奖励动作进入狂暴状态。\n狂暴时，如果您没有穿着重型盔甲，您将获得以下好处：\n你在力量检定和力量豁免上有优势。\n当你使用力量进行近战武器攻击时，你在伤害掷骰上获得 +2 加值（第 9 级 +3，第 16 级 +4）。\n你对钝击、穿刺和挥砍伤害有抵抗力。\n如果你能够施法，你就不能在狂暴时施法或专注于它们。\n你的愤怒持续 1 分钟。如果您被击昏，或者您的回合结束并且自上个回合以来您没有攻击过敌对生物或从那时起没有受到伤害，则它会提前结束。您最多可以狂暴 2 次，并且必须完成长时间的休息才能再次狂暴。
Rules/&BarbarianClassRageCondition	被激怒
Rules/&BarbarianClassCanContinueRageCondition	可以继续愤怒
Feature/&BarbarianClassRageExtraUseTitle	额外的愤怒使用
Feature/&BarbarianClassRageExtraUseDescription	在长时间休息之前，您可以再狂暴一次。
Feature/&BarbarianClassRecklessAttackPowerTitle	鲁莽攻击
Feature/&BarbarianClassRecklessAttackPowerDescription	从 2 级开始，你可以抛开对防御的所有顾虑，以猛烈的绝望攻击。当你在你的回合进行第一次攻击时，你可以决定鲁莽地攻击。这样做会让你在本回合使用力量的近战武器攻击检定获得优势，但对你的攻击检定直到你的下一轮才有优势。
Rules/&BarbarianClassRecklessCondition	鲁莽
Feature/&BarbarianClassDangerSenseTitle	危险意识
Feature/&BarbarianClassDangerSenseDescription	在第 2 级，你会在附近的事物不正常时获得一种不可思议的感觉，当你躲避危险时会给你优势。你在对抗你能看到的效果（例如陷阱和法术）的敏捷豁免上有优势。要获得此好处，您不能失明、失聪或丧失行动能力。
Feature/&BarbarianClassFeralInstinctTitle	野性本能
Feature/&BarbarianClassFeralInstinctDescription	到第 7 级时，你的直觉得到了磨练，你在先攻掷骰上有优势。此外，您再也不会感到惊讶了。
Feature/&BarbarianClassFastMovementTitle	快速移动
Feature/&BarbarianClassFastMovementDescription	从 5 级开始，当你没有穿着重型盔甲时，你的速度提高 10 英尺。
Feature/&BarbarianClassBrutalCriticalTitle	残酷的批判
Feature/&BarbarianClassBrutalCriticalDescription	从第 9 级开始，你可以在确定近战攻击造成的致命一击的额外伤害时，再掷一个武器伤害骰。\n这在 13 级时增加到两个额外的骰子，在 17 级时增加到三个额外的骰子。
Stage/&SubclassSelectionStagePrimalPathHeader	蛮族原始路径
Stage/&SubclassSelectionStagePrimalPathTitle	蛮族原始路径
Stage/&SubclassSelectionStagePrimalPathFeatures	原始路径特征
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryTitle	冰封之怒之路
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryDescription	据说在冰冻的北方游荡的野蛮人的血管里有冰。他们的愤怒并没有在他们心中燃烧，而是让他们对除嗜血之外的所有情绪视而不见——他们唯一关心的是暴力。他们将痛苦、恐惧和冬天的寒冷拒之门外，以结束战斗。
Feature/&BarbarianSubclassFrozenFuryWintersFuryTitle	冬天的愤怒
Feature/&BarbarianSubclassFrozenFuryWintersFuryDescription	一旦你在第 3 级选择了这条道路，当你进入狂暴状态时，你周围的空气都会冻结。在你的回合结束时，你周围 5 英尺内的所有生物都会受到 1d6 点寒冷伤害。这种伤害在 6 级时增加到 1d10，在 10 级时增加到 2d6，在 14 级时增加到 2d10。你对这种伤害免疫。
Feature/&BarbarianSubclassFrozenFuryFrigidBodyTitle	冰冷的身体
Feature/&BarbarianSubclassFrozenFuryFrigidBodyDescription	第 6 级起，当你进入狂暴状态时，寒风会冲击你周围的空间，击退瞄准你的导弹。你的防御等级在对抗远程武器攻击时提高 2。
Feature/&BarbarianSubclassFrozenFuryNumbTitle	麻木的
Feature/&BarbarianSubclassFrozenFuryNumbDescription	达到 10 级后，你的头脑会关闭所有的痛苦和恐惧，让你充满冷酷的决心继续战斗。你不能在狂暴时受到惊吓或中毒。如果你在发怒时受到惊吓或中毒，所有此类效果都会被移除。
Subclass/&BarbarianSubclassPrimalPathOfWarShamanTitle	战争萨满
Subclass/&BarbarianSubclassPrimalPathOfWarShamanDescription	战争萨满之路是一条古老的道路，据说最早是由被遗忘已久的战士德鲁伊所修炼的。\n遵循这条原始道路的野蛮人拥有施法能力，以增强他们的战斗能力。像德鲁伊一样，战争萨满可能在某些社会或某些神的崇拜者中被回避，他们认为所有泰坦崇拜都是诅咒。
Feature/&BarbarianSubclassWarShamanClassSpellcastingTitle	战争萨满法术
Feature/&BarbarianSubclassWarShamanClassSpellcastingDescription	当你在第 3 级选择这条道路时，你获得施展有限选择的德鲁伊法术和咒语的能力。虽然你不能在狂暴时施展法术，但你可以在施法时专注于德鲁伊法术。\n智慧是你的德鲁伊法术施法能力。每当法术提及你的施法能力时，你就使用感知。此外，当你为你施展的德鲁伊法术设置豁免 DC 时，或者当你用一个进行攻击检定时，你会使用你的感知修正。
Feature/&BarbarianSubclassWarShamanClassShareRageTitle	分享愤怒
Feature/&BarbarianSubclassWarShamanClassShareRageDescription	从 6 级开始，作为你用来进入狂暴的同一个奖励动作的一部分，你可以消耗 1 级或更高的法术位。如果你这样做，选择一个你可以在你 30 英尺范围内看到的自愿生物。只要你的目标可以看到或听到你，并且它没有穿着重型盔甲，它也会狂暴。它获得狂暴特性的效果，包括你的狂暴伤害加成。
Feature/&BarbarianSubclassWarShamanClassRagecasterTitle	狂暴法师
Feature/&BarbarianSubclassWarShamanClassRagecasterDescription	10 级时，你可以在狂暴时施展德鲁伊法术。你的“分享愤怒”功能的范围增加到 60 英尺。
Subclass/&BarbarianSubclassPrimalPathOfBerserkerTitle	狂战士
Subclass/&BarbarianSubclassPrimalPathOfBerserkerDescription	对于一些野蛮人来说，愤怒是达到目的的一种手段——目的就是暴力。狂战士之路是一条充满血腥的狂暴之路。当你进入狂战士的狂暴状态时，你会在战斗的混乱中兴奋不已，完全不顾自己的健康或幸福。
Feature/&BarbarianSubclassBerserkerFrenzyTitle	狂乱
Feature/&BarbarianSubclassBerserkerFrenzyDescription	当你在第 3 级选择这条道路时开始，你可以在愤怒时进入狂暴状态。如果你这样做，在你狂暴的持续时间内，你可以用一个附赠动作进行一次近战武器攻击。当你的愤怒结束时，你会筋疲力尽，直到你短暂休息。
Rules/&BarbarianSubclassBerserkerFrenzyCondition	丧心病狂
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedTitle	筋疲力尽的
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedDescripton	你在所有能力检定上都处于劣势。
Feature/&BarbarianSubclassMindlessRageTitle	无心之怒
Feature/&BarbarianSubclassMindlessRageDescription	从 6 级开始，你不能在狂暴时被魅惑或惊吓。如果你在进入狂暴状态时被魅惑或恐惧，该效果会在狂暴期间暂停。
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceTitle	令人生畏的存在
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceDescription	从 10 级开始，你可以用你的动作来吓唬你的威胁性存在的人。当你这样做时，选择一个你可以在你周围 30 英尺内看到的生物。如果该生物能看到或听到你，它必须成功通过一次感知豁免（DC 等于 8 + 你的熟练加值 + 你的魅力调整值），否则在你的下一个回合结束之前都会对你感到恐惧。\n如果该生物的豁免检定成功，则您在 24 小时内不能再次对该生物使用此功能。
